month,total_samples,predicted_compliant,predicted_non_compliant,average_risk_score,severe_high_risk_count
April,93,38,55,2.7736046511627905,0
August,52,7,45,12.443076923076923,0
February,66,18,48,3.48578125,0
January,38,12,26,4.282500000000001,0
July,79,17,62,4.150909090909091,0
June,66,18,48,13.985396825396824,0
March,150,44,106,4.316979865771812,0
May,65,8,57,7.64984126984127,0
November,1,1,0,0.0,0
October,17,6,11,2.7847058823529416,0
September,39,6,33,18.923243243243242,0
