station_position_tag,count_x,pollution_context_tag,count_y
Unknown,474.0,Riverine / General,609
Downstream,114.0,Confluence,39
Upstream,78.0,Lentic Waterbody,9
,,Groundwater,6
,,Point Source / Drain,3
