station_name,bod,cl,cod,conductivity,depth,dissolved_oxygen,nitrate,ph,s,toc,wt,wtb
"UT57_Bridge on Hindon river, Rajnagar Ext.Gzb",5.23,70.0,21.54,652.6,1.42,1.48,0.79,7.78,206.12,10.92,27.08,60.9
"UT58_River Kali East, D/s Meerut city, Kaul vill.",4.2,42.1,17.55,382.9,1.19,9.13,2.13,8.53,113.74,8.41,32.3,2000.0
"UT59_River Kali East, D/s of Bulandshahr",2.79,,12.55,422.04,,7.76,2.0,8.42,,5.58,31.89,56.81
"UT60_Upstream of Gokul Barrage,D/s of Mathura city",5.1,129.73,30.32,1502.75,1.75,2.28,1.8,7.8,163.8,10.81,31.55,47.45
"UT61_Near Galhita on River Hindon,Barnawa,Baghpat",1.54,,6.38,250.8,,7.67,0.48,7.37,,2.05,28.94,44.3
"UT62_River Kosi, D/s of Kashipur, Darhiyal",0.5,48.43,5.0,537.71,0.79,6.44,3.33,7.82,194.17,1.0,30.68,50.52
"UT63_River Yamuna, U/s to Sangam at Allahabad",4.99,42.72,21.2,938.9,0.8,9.14,4.03,8.35,90.8,12.47,31.27,34.44
"UT64_Fafamau, Lord Curzon Bridge, Allahabad",2.91,48.97,12.86,470.2,0.88,7.57,2.47,8.36,93.49,5.72,29.4,35.71
"UT65_Balu ghat bridge, Chunar",3.36,60.95,15.43,515.2,0.82,8.26,2.36,8.4,69.82,7.95,28.63,26.03
"UT66_Ghazipur, Abdul Hameed Setu on River Ganga",3.11,59.2,15.93,543.3,0.91,7.44,2.07,8.22,62.11,7.78,29.08,33.94
"UT67_Kheerveer Bridge,Kishundaspur Road,Pratapgarh",4.65,65.12,19.78,654.65,2.26,7.66,3.13,8.42,82.52,11.63,32.19,40.37
"UT68_Korra Kanak, Asothar, Fatehpur.",5.13,104.4,22.77,1137.1,1.12,6.43,3.9,8.54,100.62,9.74,29.08,131.01
"UT69_Marhapur, Auraiya",2.95,99.97,15.7,1058.8,1.0,8.01,3.62,8.22,100.62,7.48,28.95,37.32
"UT70_Mawai Dham, Amauli, Fatehpur",3.28,96.5,16.53,997.4,0.73,8.57,5.2,8.06,101.12,8.41,28.22,28.82
UT71_Beladandi Bridge on River Ramganga,6.12,32.96,24.48,367.85,0.98,7.6,5.71,7.2,171.08,12.24,30.56,1298.09
WB85_Raghunathpur Thermal power plant Intake well.,2.15,46.34,9.2,486.3,2.42,8.17,0.3,8.78,132.2,4.3,29.74,2.77
"WB86_Farakka Barrage, Road Bridge",1.79,34.58,7.82,332.31,2.11,7.31,0.3,8.27,24.15,3.58,29.67,12.45
WB87_Nabadwip Bathing Ghat,2.35,48.42,9.87,374.8,0.95,7.34,0.3,8.22,9.55,4.38,28.31,25.8
"WB88_Chinsura , Near Hooghly, Road Bridge",2.34,45.26,9.72,423.5,3.98,7.74,0.3,8.37,16.65,4.48,29.22,25.53
"WB89_Durgapur barrage, Road Bridge",2.52,40.4,11.35,404.3,2.08,7.4,0.3,8.47,67.73,5.04,29.53,1.71
WB90_Damodar river Intake well pump house Ramgarh,1.41,48.25,6.34,512.56,0.95,7.81,0.3,8.29,308.55,2.82,30.66,4.12
