Model,Accuracy,Balanced_Accuracy,Precision_NonCompliant,Recall_NonCompliant,F1_NonCompliant,ROC_AUC
Dummy,0.662992125984252,0.5,0.0,0.0,0.0,0.5
LogisticRegression,0.9480314960629921,0.9401291983927897,0.9289099526066351,0.9158878504672897,0.9223529411764706,0.9900548316203077
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,0.9952755905511811,0.9941394543476814,0.9953051643192489,0.9906542056074766,0.9929742388758782,0.9999445024085953
GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0
