Variant,Split_Type,Model,Accuracy,Balanced_Accuracy,Precision_NonCompliant,Recall_NonCompliant,F1_NonCompliant,ROC_AUC
Core Regulatory Model,Random_Split,DummyClassifier,0.662992125984252,0.5,0.0,0.0,0.0,0.5
Core Regulatory Model,Random_Split,LogisticRegression,0.925984251968504,0.9200557195817702,0.8812785388127854,0.9018691588785047,0.8914549653579676,0.9782116456145804
Core Regulatory Model,Random_Split,DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0
Core Regulatory Model,Random_Split,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
Core Regulatory Model,Random_Split,GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0
Core Regulatory Model,Random_Split,HistGradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0
Extended Clean Model,Random_Split,DummyClassifier,0.662992125984252,0.5,0.0,0.0,0.0,0.5
Extended Clean Model,Random_Split,LogisticRegression,0.9244094488188976,0.920016871267787,0.8738738738738738,0.9065420560747663,0.8899082568807339,0.9791107065953338
Extended Clean Model,Random_Split,DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0
Extended Clean Model,Random_Split,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
Extended Clean Model,Random_Split,GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0
Extended Clean Model,Random_Split,HistGradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0
True Auxiliary-Only Model,Random_Split,DummyClassifier,0.662992125984252,0.5,0.0,0.0,0.0,0.5
True Auxiliary-Only Model,Random_Split,LogisticRegression,0.5858267716535434,0.5750660421337714,0.4128113879003559,0.5420560747663551,0.4686868686868687,0.6258019401957955
True Auxiliary-Only Model,Random_Split,DecisionTree,0.7070866141732284,0.6837469753812684,0.5598290598290598,0.6121495327102804,0.5848214285714286,0.7595566852398606
True Auxiliary-Only Model,Random_Split,RandomForest,0.7811023622047244,0.7613936555153507,0.6666666666666666,0.7009345794392523,0.683371298405467,0.8203653961418076
True Auxiliary-Only Model,Random_Split,GradientBoosting,0.7826771653543307,0.7373077008457833,0.7111111111111111,0.5981308411214953,0.649746192893401,0.8236175549981131
True Auxiliary-Only Model,Random_Split,HistGradientBoosting,0.8078740157480315,0.7540124758585477,0.7875,0.5887850467289719,0.6737967914438503,0.8135280928807691
