Station_Code,Monitoring_Location,State,River_Basin,Year,Spatial_Tags,Primary_Position,Station_Base_Name,Station_Group,Has_US_DS_Pair,Compliance_Label,Compliance_Label_Encoded,Is_Safe,Class_Weight,Binary_Class_Weight,Temperature_Min_C,Temperature_Max_C,Dissolved_Oxygen_Min_mgL,Dissolved_Oxygen_Max_mgL,pH_Min,pH_Max,Conductivity_Min_umho_cm,Conductivity_Max_umho_cm,BOD_Min_mgL,BOD_Max_mgL,Nitrate_N_Min_mgL,Nitrate_N_Max_mgL,Fecal_Coliform_Min_MPN100ml,Fecal_Coliform_Max_MPN100ml,Total_Coliform_Min_MPN100ml,Total_Coliform_Max_MPN100ml,Fecal_Streptococci_Min_MPN100ml,Fecal_Streptococci_Max_MPN100ml,Temperature_Mean_C,Dissolved_Oxygen_Mean_mgL,pH_Mean,Conductivity_Mean_umho_cm,BOD_Mean_mgL,Nitrate_N_Mean_mgL,Fecal_Coliform_Mean_MPN100ml,Total_Coliform_Mean_MPN100ml,Fecal_Streptococci_Mean_MPN100ml,Temperature_Mean_C_MinMax,Dissolved_Oxygen_Mean_mgL_MinMax,pH_Mean_MinMax,Conductivity_Mean_umho_cm_MinMax,BOD_Mean_mgL_MinMax,Nitrate_N_Mean_mgL_MinMax,Fecal_Coliform_Mean_MPN100ml_MinMax,Total_Coliform_Mean_MPN100ml_MinMax,Fecal_Streptococci_Mean_MPN100ml_MinMax,Temperature_Mean_C_Zscore,Dissolved_Oxygen_Mean_mgL_Zscore,pH_Mean_Zscore,Conductivity_Mean_umho_cm_Zscore,BOD_Mean_mgL_Zscore,Nitrate_N_Mean_mgL_Zscore,Fecal_Coliform_Mean_MPN100ml_Zscore,Total_Coliform_Mean_MPN100ml_Zscore,Fecal_Streptococci_Mean_MPN100ml_Zscore
1005,RIVER BEAS AT EXIT OF DEHAR POWER HOUSE,HIMACHAL PRADESH,Beas,2022,NONE,UNSPECIFIED,RIVER BEAS EXIT DEHAR POWER HOUSE,BEAS|RIVER BEAS EXIT DEHAR POWER HOUSE,False,Class_B,1,1,0.660625,0.8081039755351682,10.0,28.0,8.6,9.7,7.01,8.48,128.0,292.0,0.0,0.0,0.32,1.3,79.0,140.0,240.0,550.0,0.0,0.0,19.0,9.149999999999999,7.745,210.0,0.0,0.81,109.5,395.0,0.0,0.5396825396825397,0.8026315789473683,0.019861611928661923,0.004022795843110962,0.0,0.00204842890560789,9.124163618334985e-06,4.93728399382527e-06,0.0,-0.876434883377769,1.3450790749896286,-0.005274543741731548,-0.24381533613811907,-0.4862047984678088,-0.14841549302936502,-0.09203343027562598,-0.06481629101376746,-0.03268773805103171
1550,"BEAS RIVER, U/S OF MANDI TOWN",HIMACHAL PRADESH,Beas,2022,UPSTREAM,UPSTREAM,"BEAS RIVER, MANDI TOWN","BEAS|BEAS RIVER, MANDI TOWN",False,Class_B,1,1,0.660625,0.8081039755351682,9.0,25.0,7.9,9.6,7.68,8.48,113.0,167.0,0.0,0.0,0.32,1.51,25.0,84.0,150.0,280.0,0.0,0.0,17.0,8.75,8.08,140.0,0.0,0.915,54.5,215.0,0.0,0.47619047619047616,0.7675438596491228,0.021167527531429687,0.002458375237456699,0.0,0.0023139659859644683,4.54125038538134e-06,2.687382427018818e-06,0.0,-1.308242782943449,1.11202448055887,0.0517294870712536,-0.2729522066779488,-0.4862047984678088,-0.137493905043368,-0.09222699539938577,-0.06491420438436461,-0.03268773805103171
1006,RIVER BEAS D/S MANDI TOWN,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS MANDI TOWN,BEAS|RIVER BEAS MANDI TOWN,False,Class_C,2,1,0.6046910755148741,0.8081039755351682,7.0,25.0,7.2,9.5,7.6,8.47,92.0,360.0,1.1,1.1,0.32,1.64,94.0,920.0,350.0,1600.0,0.0,0.0,16.0,8.35,8.035,226.0,1.1,0.98,507.0,975.0,0.0,0.4444444444444444,0.7324561403508771,0.020992106032550435,0.004380377695831937,0.007457627118644068,0.0024783460833280647,4.224612743831815e-05,1.2186966820201616e-05,0.0,-1.524146732726289,0.8789698861281101,0.04407222920085262,-0.23715548001472941,-0.3549288028632904,-0.1307329220044175,-0.09063448233572563,-0.0645007923751766,-0.03268773805103171
2604,RIVER BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS JAISINGHPUR,BEAS|RIVER BEAS JAISINGHPUR,False,Class_B,1,1,0.660625,0.8081039755351682,10.0,25.0,7.8,9.1,7.4,8.13,146.0,348.0,0.0,0.0,0.0,6.98,2.0,70.0,15.0,350.0,0.0,0.0,17.5,8.45,7.765000000000001,247.0,0.0,3.49,36.0,182.5,0.0,0.4920634920634921,0.7412280701754385,0.019939577039274924,0.004849703877528215,0.0,0.0088259467661377,2.999725025206023e-06,2.281150199678764e-06,0.0,-1.200290808052029,0.9372335347357998,-0.0018713180215532512,-0.2284144188527805,-0.4862047984678088,0.13034503842274908,-0.09229210366828679,-0.0649318831873891,-0.03268773805103171
1007,RIVER BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS ALAMPUR,BEAS|RIVER BEAS ALAMPUR,False,Class_B,1,1,0.660625,0.8081039755351682,5.0,23.0,8.1,9.4,7.52,8.12,154.0,320.0,0.0,0.0,0.0,6.27,2.0,49.0,12.0,350.0,0.0,0.0,14.0,8.75,7.819999999999999,237.0,0.0,3.135,25.5,181.0,0.0,0.38095238095238093,0.7675438596491228,0.02015398109346067,0.0046262152195776065,0.0,0.007928178542074981,2.1248052261875997e-06,2.262401019955377e-06,0.0,-1.955954632291969,1.11202448055887,0.007487552708936649,-0.23257682892989903,-0.4862047984678088,0.09341966951771154,-0.09232905701009547,-0.06493269913214408,-0.03268773805103171
3855,"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,"RIVER BEAS NADAUN BRIDGE, VILL BHADOLI","BEAS|RIVER BEAS NADAUN BRIDGE, VILL BHADOLI",False,Class_B,1,1,0.660625,0.8081039755351682,16.0,29.0,6.8,9.4,7.4,8.13,263.0,365.0,2.0,2.0,0.0,5.12,2.0,94.0,17.0,220.0,0.0,0.0,22.5,8.1,7.765000000000001,314.0,2.0,2.56,48.0,118.5,0.0,0.6507936507936507,0.7105263157894736,0.019939577039274924,0.006347077885797295,0.013559322033898305,0.006474046911550862,3.9996333669413635e-06,1.481185198147581e-06,0.0,-0.12077105913782912,0.7333107646088854,-0.0018713180215532512,-0.20052627133608633,-0.24752117009595723,0.033610973403918436,-0.09224987127764829,-0.0649666968302681,-0.03268773805103171
1009,RIVER BEAS AT D/S PONG DAM,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS PONG DAM,BEAS|RIVER BEAS PONG DAM,False,Class_C,2,1,0.6046910755148741,0.8081039755351682,15.0,22.0,4.8,9.2,7.12,8.13,144.0,243.0,0.0,0.0,0.0,6.95,2.0,94.0,27.0,1600.0,0.0,0.0,18.5,7.0,7.625,193.5,0.0,3.475,48.0,813.5,0.0,0.5238095238095237,0.6140350877192982,0.01939382126498392,0.003654039557492457,0.0,0.00878801289751533,3.9996333669413635e-06,1.0168305136650271e-05,0.0,-0.984386858269189,0.09241062992429684,-0.025693898062800875,-0.25068331276536465,-0.4862047984678088,0.12878481156760663,-0.09224987127764829,-0.06458864242712906,-0.03268773805103171
1008,RIVER BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS DEHRAGOPIPUR,BEAS|RIVER BEAS DEHRAGOPIPUR,False,Class_B,1,1,0.660625,0.8081039755351682,16.0,25.0,6.7,9.5,7.27,8.29,245.0,307.0,0.0,0.0,0.0,8.56,2.0,23.0,13.0,210.0,0.0,0.0,20.5,8.1,7.779999999999999,276.0,0.0,4.28,12.5,111.5,0.0,0.5873015873015872,0.7105263157894736,0.01999805087223467,0.005497820985584981,0.0,0.010823797180249098,1.0415711893076467e-06,1.3936890261051078e-06,0.0,-0.552578958703509,0.7333107646088854,0.0006811012685802068,-0.21634342962913675,-0.4862047984678088,0.21251698612691705,-0.09237480876662052,-0.06497050457245798,-0.03268773805103171
4435,RIVER BEAS U/S SUJANPUR TIHRA,HIMACHAL PRADESH,Beas,2022,UPSTREAM,UPSTREAM,RIVER BEAS SUJANPUR TIHRA,BEAS|RIVER BEAS SUJANPUR TIHRA,True,Class_B,1,1,0.660625,0.8081039755351682,9.7,29.0,7.8,9.1,7.32,8.29,204.0,347.0,0.0,0.0,0.0,4.46,2.0,84.0,17.0,900.0,0.0,0.0,19.35,8.45,7.805,275.5,0.0,2.23,43.0,458.5,0.0,0.5507936507936508,0.7412280701754385,0.02009550726050092,0.005486646552687451,0.0,0.005639501801858759,3.583004891218305e-06,5.73099926878199e-06,0.0,-0.8008685009537747,0.9372335347357998,0.0049351334188030395,-0.21655155013299268,-0.4862047984678088,-0.0007140174092150243,-0.092267468107081,-0.06478174935247345,-0.03268773805103171
4436,RIVER BEAS D/S SUJANPUR TIHRA,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS SUJANPUR TIHRA,BEAS|RIVER BEAS SUJANPUR TIHRA,True,Class_C,2,1,0.6046910755148741,0.8081039755351682,9.7,30.0,7.8,8.9,7.39,8.41,220.0,360.0,0.0,0.0,0.0,6.19,2.0,240.0,22.0,1600.0,0.0,0.0,19.85,8.35,7.9,290.0,0.0,3.095,121.0,811.0,0.0,0.5666666666666667,0.7324561403508771,0.020465841535912677,0.005810705106715834,0.0,0.007827021559082001,1.0082409112498022e-05,1.013705650377796e-05,0.0,-0.6929165260623548,0.8789698861281101,0.021100455589649684,-0.2105160555211708,-0.4862047984678088,0.0892590645706651,-0.09199295756793074,-0.06459000233505402,-0.03268773805103171
