Risk_Category,Count,Percentage
Low Risk,10354,65.88609608654153
Unknown,5286,33.63665287941458
High Risk,37,0.23544384346166083
Moderate Risk,37,0.23544384346166083
Severe Risk,1,0.006363347120585427
