,count,mean,std,min,25%,50%,75%,max
flow,640.0,0.31124999999999997,1.0013597953530993,0.0,0.0,0.0,0.0,8.0
cod,645.0,38.698604651162796,57.61212088792818,7.9,12.0,16.0,28.0,624.0
amonia_n,641.0,0.9895007800312012,2.037311509781952,0.4,0.4,0.4,0.71,24.6
hardness_caco3,645.0,507.4648062015503,1205.3051691428943,16.0,62.0,100.0,198.0,7390.0
calcium_caco3,645.0,132.16992248062016,215.63939107254225,8.0,34.0,56.0,102.8,1639.0
magnesium_caco3,645.0,375.19950387596896,1008.9014347745407,7.0,27.0,42.6,93.8,6230.0
total_dissolved_solids,645.0,3035.277534883721,8155.976893790682,11.0,146.0,252.0,496.0,38400.0
total_fixed_solids,645.0,2629.8499224806205,7095.793221373153,30.0,123.0,210.0,427.0,34560.0
nitrite_n,0.0,,,,,,,
slno,11878.0,2401.225290452938,1560.1115702855634,1.0,990.25,2281.5,3766.0,5251.0
state_lgd_code,11878.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0
district_lgd_code,11878.0,540.1608014817309,79.2437304743929,502.0,510.0,510.0,511.0,748.0
chemical_oxygen_demand_mg_l,0.0,,,,,,,
amonia_n_mgn_l,3681.0,0.0394823743547949,0.1669922837643996,0.0,0.0,0.0,0.01404,5.68
boron_mg_l,0.0,,,,,,,
carbonate_mg_l,4539.0,8.575315351398986,12.432652748248174,0.0,0.0,0.0,17.2,96.0
calcium_mg_l,4543.0,30.08535933475677,13.301451180820655,1.0,21.740000000000002,28.8,36.028,253.1
chloride_mg_l,4539.0,69.4878809418374,52.28380379309073,1.6,35.0,57.89,92.78,695.232
total_dissolved_solids_mg_l,1486.0,363.31376850605653,175.84889261638233,42.0,240.0,339.0,451.75,1366.0
fluoride_mg_l,0.0,,,,,,,
bicarbonate_mg_l,4543.0,136.03453778340304,72.03555379772263,9.03,89.1,120.78,164.59,760.1
potassium_mg_l,0.0,,,,,,,
magnesium_mg_l,4543.0,19.13154026025754,12.247337950057338,0.0,9.948421,17.14608,25.6,198.03043
sodium_mg_l,4400.0,59.44630274522728,50.10791377237747,1.0,22.575000000000003,44.061,85.41125,943.0
nitrite_n_nitrate_n_mgn_l,3763.0,0.43113387309141643,0.7228539608991308,0.0,0.060999997,0.24,0.541,13.03116
sulphate_mg_l,4425.0,58.850768474576284,59.92449255596815,0.0,20.16,38.5,76.464,650.0
