feature,importance
cod,0.07807807807807807
fecal_coliform,0.06381381381381382
conductivity,0.05960960960960961
nitrate,0.02777777777777777
total_coliform,0.027477477477477464
total_dissolved_solids,0.013663663663663662
turbidity,0.011261261261261268
temperature,0.010510510510510518
fecal_streptococci,0.0
season,0.0
river_name,0.0
